ID,MeasurementTitle,PlateName,WellGroupID,Compound,Dose,GraphSeriesNo,ControlType,CellName,SampleVolume,ReagentVolume,Unit,DateTime,Timepoint,ElapsedTime,Description,[Cell] Count,[Cell] (Nuclei) Area (AVG),[Cell] (Nuclei) Area (SD),[Cell] (Nuclei) X-CoordinateInWell (AVG),[Cell] (Nuclei) X-CoordinateInWell (SD),[Cell] (Nuclei) Y-CoordinateInWell (AVG),[Cell] (Nuclei) Y-CoordinateInWell (SD),[Cell] (Nuclei) MinX (AVG),[Cell] (Nuclei) MinX (SD),[Cell] (Nuclei) MaxX (AVG),[Cell] (Nuclei) MaxX (SD),[Cell] (Nuclei) MinY (AVG),[Cell] (Nuclei) MinY (SD),[Cell] (Nuclei) MaxY (AVG),[Cell] (Nuclei) MaxY (SD),[Cell] (Nuclei) Diameter (AVG),[Cell] (Nuclei) Diameter (SD),[Cell] (Nuclei) Circumference (AVG),[Cell] (Nuclei) Circumference (SD),[Cell] (Nuclei) Circularity (AVG),[Cell] (Nuclei) Circularity (SD),[Cell] (Nuclei) Compactness (AVG),[Cell] (Nuclei) Compactness (SD),[Cell] (Nuclei) Anisometry (AVG),[Cell] (Nuclei) Anisometry (SD),[Cell] (Nuclei) MeanIntensity CH1 (AVG),[Cell] (Nuclei) MeanIntensity CH1 (SD),[Cell] (Nuclei) MeanIntensity CH2 (AVG),[Cell] (Nuclei) MeanIntensity CH2 (SD),[Cell] (Foci (Nuclei)) COUNT (AVG),[Cell] (Foci (Nuclei)) COUNT (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (SD),[Cell] Focci intensity norm (AVG),[Cell] Focci intensity norm (SD)
1,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,2,NT,0,1,Test,,0,0,uM,2023-02-09 15:28:42 +01:00,1,0,,1635,259.0791,51.9695,-80.3628,639.2591,-109.2271,620.5587,96.8356,58.2573,115.5873,58.2052,97.0664,56.3892,115.8912,56.3852,21.8032,2.7787,62.5790,6.3609,0.697607,0.110084,1.219796,0.125826,1.459483,0.292407,370.9558,66.9641,737.2126,172.0645,39.90,5.73,22563.21,5860.59,17039.69,4677.96,1136.5176,213.7316,1000.8173,184.0778,90.481455,29.949208
11,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,3,NT,100,1,Test,,0,0,uM,2023-02-09 17:23:50 +01:00,1,0,,1198,224.9680,46.3507,-48.7064,615.2695,-91.2411,626.1608,96.7057,57.5034,114.2899,57.6894,101.3562,56.6835,118.9408,56.8376,20.4051,2.6795,58.7796,5.9757,0.690339,0.109496,1.242919,0.141440,1.458897,0.288299,398.2634,51.8459,536.6795,100.2902,41.11,5.67,16996.79,3251.04,13878.13,2501.34,919.5272,124.6368,846.2683,108.4563,80.009648,27.686360
10,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,4,NT,0,10,Test,,0,0,uM,2023-02-09 15:54:28 +01:00,1,0,,2263,244.3205,48.4150,57.6235,610.3104,-70.2525,608.9483,97.0888,57.5201,115.3642,57.5207,100.4818,58.5639,118.6551,58.6155,20.9172,2.5011,60.7692,5.9754,0.710939,0.099367,1.219890,0.118813,1.422979,0.248242,365.6070,50.0090,778.2380,166.6514,39.88,5.79,24174.27,5587.00,17471.97,4419.40,1185.0516,197.8844,1025.8562,173.8287,102.853731,31.901647
20,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,5,NT,100,10,Test,,0,0,uM,2023-02-09 16:56:54 +01:00,1,0,,1880,224.9210,45.2843,-50.3772,606.8234,-86.2667,602.0656,100.0611,55.7736,117.5472,56.0032,98.4782,57.8916,116.0178,57.9511,20.1334,2.5168,58.6181,6.0980,0.706984,0.103167,1.235799,0.157865,1.426603,0.254148,372.9356,51.5211,601.5403,130.3884,41.15,5.75,19345.00,4071.36,15257.75,3073.53,1005.0791,153.7639,907.6012,131.6996,90.892456,32.012570
2,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,6,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 15:31:34 +01:00,1,0,,2000,253.6293,50.3069,1.2181,621.3943,-62.0472,628.5004,98.0483,57.2852,116.7604,57.4563,102.2951,56.5529,120.9204,56.6740,21.5203,2.4956,62.4553,6.1018,0.697288,0.105843,1.242920,0.128257,1.440838,0.270451,411.9787,57.7618,822.9993,155.4156,39.55,5.62,25439.92,6026.37,19028.40,5271.41,1244.7479,212.8837,1092.6044,196.4249,103.793033,30.614242
12,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,7,siCON1 ,100,2,Test,,0,0,uM,2023-02-09 17:20:58 +01:00,1,0,,1628,208.0173,46.1822,15.8089,612.0404,-128.0173,625.6431,97.7134,57.6328,114.7881,57.7514,101.1923,57.1095,118.3420,57.3244,19.9870,2.7272,57.6368,6.3934,0.662892,0.106529,1.297135,0.173741,1.506066,0.319460,408.2358,56.1204,585.0118,122.9171,40.79,5.77,19126.94,4121.70,15356.17,3194.75,999.9717,157.2809,919.7953,139.2643,98.431191,38.142129
3,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,8,siCON2,0,3,Test,,0,0,uM,2023-02-09 15:34:26 +01:00,1,0,,1666,285.2548,56.1947,16.2259,604.6661,-17.8522,630.4811,94.2283,56.6141,114.2421,56.6083,98.7523,56.7469,118.9661,56.9445,23.6949,2.9689,67.5511,6.9637,0.650895,0.117109,1.296409,0.180533,1.539722,0.340301,429.0421,54.9121,802.9854,174.8840,39.24,5.70,26080.02,6952.30,19432.96,5803.53,1248.6253,238.0426,1100.5619,215.1140,94.807436,30.965377
13,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,9,siCON2,100,3,Test,,0,0,uM,2023-02-09 17:18:06 +01:00,1,0,,1939,232.8340,56.3523,-39.6511,614.1158,-49.9173,627.5159,98.4881,56.3837,116.6076,56.5911,99.9302,56.9923,118.1352,57.0191,21.4851,3.2157,61.2522,7.2601,0.641485,0.110436,1.313120,0.164593,1.544848,0.342572,411.8747,58.6127,597.7166,140.6549,40.11,5.64,19992.18,4311.01,15638.04,3399.68,1027.6351,171.4919,926.5661,152.4981,92.789284,36.903976
4,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,10,siLuc,0,4,Test,,0,0,uM,2023-02-09 15:37:18 +01:00,1,0,,1196,262.5412,47.9629,49.0134,597.5071,68.7474,600.3540,96.6394,58.6181,115.6775,58.5771,102.8951,58.9248,122.0173,59.1324,22.4367,2.6940,63.5430,5.8426,0.669489,0.113919,1.239730,0.123257,1.520648,0.319761,432.7193,54.9621,932.9064,150.3966,38.93,5.64,28961.13,6137.80,21987.28,5657.00,1366.9073,209.1818,1212.2911,208.6307,113.562356,30.680182
14,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,11,siLuc,100,4,Test,,0,0,uM,2023-02-09 17:15:15 +01:00,1,0,,2043,212.1346,46.7907,-68.4184,609.8825,-86.4148,614.3157,98.5271,56.8855,115.6396,56.8806,103.5426,57.8256,120.7664,57.9159,19.9742,2.6871,57.5896,6.4271,0.677801,0.109578,1.267815,0.156637,1.481973,0.304147,407.8282,56.5503,756.5378,163.8618,41.06,5.70,24339.75,5274.17,18692.29,4362.30,1197.7681,195.5293,1066.5896,187.2330,121.373771,41.579079
5,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,12,siPLK1,0,5,Test,,0,0,uM,2023-02-09 15:40:10 +01:00,1,0,,79,216.4262,92.7791,-50.0600,665.7270,-148.0320,632.8094,97.3856,56.0443,115.4938,56.9829,103.8146,52.5016,121.7904,53.4765,21.4884,4.2483,68.0122,15.7050,0.575962,0.131087,1.902188,0.816979,1.571746,0.365364,468.1774,66.5442,644.0627,216.0087,39.09,6.01,19186.70,7980.18,14860.94,5488.80,1076.7021,343.6683,957.8034,263.4323,104.114530,56.381666
15,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,13,siPLK1,100,5,Test,,0,0,uM,2023-02-09 17:12:23 +01:00,1,0,,119,154.6679,60.0878,-54.0910,666.4989,-24.0045,655.2260,101.9240,60.9597,117.8864,61.6002,97.8906,59.4859,113.2155,59.9944,19.0529,3.4125,59.8252,13.2452,0.534473,0.143846,2.080427,1.046792,1.665831,0.459630,418.8466,71.1815,498.7105,148.3156,38.90,5.44,13774.09,3812.64,11665.93,3128.25,828.9826,190.9740,764.5033,165.7927,107.695106,61.277115
6,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,14,siDDX17,0,6,Test,,0,0,uM,2023-02-09 15:43:01 +01:00,1,0,,1344,267.3589,47.7841,17.8737,628.7149,-24.2202,612.4520,93.7160,59.1910,112.8712,59.2152,103.4293,58.8821,122.5959,58.9105,22.3373,2.6762,63.7897,5.9348,0.687831,0.113071,1.224841,0.111866,1.476861,0.302329,421.9507,53.6567,947.4478,151.9227,39.05,5.61,30715.21,6622.33,23033.24,6229.91,1434.1673,236.4870,1253.6690,228.8715,117.633565,29.251608
