ID,MeasurementTitle,PlateName,WellGroupID,Compound,Dose,GraphSeriesNo,ControlType,CellName,SampleVolume,ReagentVolume,Unit,DateTime,Timepoint,ElapsedTime,Description,[Cell] Count,[Cell] (Nuclei) Area (AVG),[Cell] (Nuclei) Area (SD),[Cell] (Nuclei) X-CoordinateInWell (AVG),[Cell] (Nuclei) X-CoordinateInWell (SD),[Cell] (Nuclei) Y-CoordinateInWell (AVG),[Cell] (Nuclei) Y-CoordinateInWell (SD),[Cell] (Nuclei) MinX (AVG),[Cell] (Nuclei) MinX (SD),[Cell] (Nuclei) MaxX (AVG),[Cell] (Nuclei) MaxX (SD),[Cell] (Nuclei) MinY (AVG),[Cell] (Nuclei) MinY (SD),[Cell] (Nuclei) MaxY (AVG),[Cell] (Nuclei) MaxY (SD),[Cell] (Nuclei) Diameter (AVG),[Cell] (Nuclei) Diameter (SD),[Cell] (Nuclei) Circumference (AVG),[Cell] (Nuclei) Circumference (SD),[Cell] (Nuclei) Circularity (AVG),[Cell] (Nuclei) Circularity (SD),[Cell] (Nuclei) Compactness (AVG),[Cell] (Nuclei) Compactness (SD),[Cell] (Nuclei) Anisometry (AVG),[Cell] (Nuclei) Anisometry (SD),[Cell] (Nuclei) MeanIntensity CH1 (AVG),[Cell] (Nuclei) MeanIntensity CH1 (SD),[Cell] (Nuclei) MeanIntensity CH2 (AVG),[Cell] (Nuclei) MeanIntensity CH2 (SD),[Cell] (Foci (Nuclei)) COUNT (AVG),[Cell] (Foci (Nuclei)) COUNT (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (SD),[Cell] Focci intensity norm (AVG),[Cell] Focci intensity norm (SD)
1,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,2,NT,0,1,Test,,0,0,uM,2023-02-09 15:28:42 +01:00,1,0,,1064,348.6836,57.0816,-29.8839,631.7458,84.7704,638.4095,97.4932,56.4804,119.0599,56.4153,96.3960,55.3486,118.1802,55.6053,25.0385,2.6172,71.9787,5.7794,0.713913,0.109502,1.192428,0.079178,1.429349,0.256253,396.1546,65.1197,831.5504,139.7094,100.28,19.70,23955.48,4855.60,17547.79,3931.65,1234.1544,190.3638,1052.5462,162.9007,70.535256,18.730916
11,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,3,NT,100,1,Test,,0,0,uM,2023-02-09 17:23:50 +01:00,1,0,,2079,333.7249,53.5249,-94.6597,592.9205,-76.1178,591.8379,95.9149,55.7815,117.3317,55.9140,93.8521,55.7673,114.9786,56.0687,24.6837,2.6765,70.6212,5.8914,0.704622,0.111880,1.198885,0.088908,1.456667,0.278422,416.4831,48.8837,668.5594,110.1314,113.61,25.48,19501.95,3278.24,15133.36,2472.77,1053.2359,140.0100,920.2992,118.5980,60.023509,14.639041
10,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,4,NT,0,10,Test,,0,0,uM,2023-02-09 15:54:28 +01:00,1,0,,1558,341.2696,50.8895,41.8764,628.5485,17.8401,635.5342,90.8464,56.3718,112.4454,56.4601,91.6707,54.2415,112.8886,54.4365,24.4957,2.3834,71.0890,5.5742,0.729533,0.105689,1.186495,0.089762,1.394599,0.233983,381.0871,47.2243,854.8130,138.3756,103.37,20.69,24588.97,4626.53,17693.32,3592.98,1256.0319,182.7563,1064.7544,154.0781,73.545674,17.357885
20,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,5,NT,100,10,Test,,0,0,uM,2023-02-09 16:56:54 +01:00,1,0,,3240,331.6749,55.5514,-60.1294,630.6132,-50.1173,633.8773,94.7784,56.2839,115.9255,56.3640,95.0580,55.9284,116.0357,56.1038,24.1217,2.5764,69.9733,6.0717,0.730627,0.104663,1.184459,0.092687,1.395174,0.236594,386.9444,47.6404,733.6108,135.2161,113.38,26.49,21537.24,4015.80,16402.91,3076.68,1135.0308,168.9766,984.2192,144.7643,66.827568,17.172034
2,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,6,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 15:31:34 +01:00,1,0,,474,344.4991,53.8337,-37.2277,574.6185,111.1989,569.8227,99.4597,56.3053,121.0365,56.6241,96.2294,54.6321,117.5733,54.8209,24.3984,2.3069,71.3153,5.8518,0.739937,0.102340,1.183450,0.082270,1.367094,0.222966,414.7964,44.6861,902.6414,126.9153,98.72,18.50,26402.51,4822.61,19421.15,3978.83,1330.5454,188.2684,1130.8956,164.0467,78.719309,20.065581
12,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,7,siCON1 ,100,2,Test,,0,0,uM,2023-02-09 17:20:58 +01:00,1,0,,1639,303.8672,49.2065,-28.3859,622.2239,-70.5171,587.7127,98.0305,56.8519,118.3082,56.8293,92.7776,55.2716,113.1541,55.3600,23.4214,2.4188,67.6796,5.6049,0.710610,0.107231,1.210097,0.099053,1.433150,0.262457,425.8115,51.9074,739.0598,139.2610,105.34,21.03,22329.73,4656.30,16891.09,3409.55,1166.1145,191.2125,1004.2319,157.7178,75.409546,19.870304
3,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,8,siCON2,0,3,Test,,0,0,uM,2023-02-09 15:34:26 +01:00,1,0,,131,370.5418,53.7105,20.6822,469.3348,169.0888,584.9218,91.6884,57.2829,114.2024,56.8829,97.1094,57.0814,119.7921,57.3560,26.1708,2.6170,75.5223,6.5008,0.696165,0.111024,1.233938,0.130273,1.450448,0.283855,409.5998,44.1918,847.7642,140.4208,92.21,10.90,25640.48,4968.32,17758.34,3619.22,1272.2256,186.0154,1064.4237,154.5172,70.487032,16.725893
13,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,9,siCON2,100,3,Test,,0,0,uM,2023-02-09 17:18:06 +01:00,1,0,,1443,338.3567,52.8024,-0.9370,602.0613,-5.5083,611.5375,97.7160,57.4456,119.5207,57.4822,90.0580,55.9383,111.5536,56.2135,25.2299,2.7150,72.2659,6.0107,0.684184,0.116953,1.240410,0.129732,1.484390,0.304605,420.5861,51.2271,727.2079,144.2369,106.28,21.74,22510.16,4446.20,16879.32,3502.39,1161.8820,184.2580,997.6406,162.3586,68.420599,18.489712
4,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,10,siLuc,0,4,Test,,0,0,uM,2023-02-09 15:37:18 +01:00,1,0,,45,336.2885,58.3552,0.8386,523.5827,263.3214,503.1239,82.8811,53.6086,104.1007,53.3527,97.3667,58.3314,118.6366,58.3916,24.5496,2.7384,70.6464,6.1495,0.715387,0.101362,1.190665,0.061334,1.430210,0.246763,392.9103,46.1182,971.3845,138.3648,93.13,12.18,28756.73,5021.16,21666.13,4598.98,1402.1453,193.4205,1218.9312,188.5394,87.859328,21.472861
14,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,11,siLuc,100,4,Test,,0,0,uM,2023-02-09 17:15:15 +01:00,1,0,,2483,309.4373,49.3609,18.5118,633.2296,-65.6902,615.4831,99.1417,56.8958,119.4453,56.8258,94.4802,56.4841,115.0514,56.4421,23.4391,2.3481,67.8928,5.4794,0.722474,0.111386,1.196241,0.103010,1.415852,0.269374,411.1012,50.4888,886.4495,143.0747,105.46,21.54,26574.59,4640.83,20083.74,3755.76,1335.7840,189.7629,1155.4866,169.8598,87.727643,19.276565
