ID,MeasurementTitle,PlateName,WellID,Row,Column,RowName,ColumnName,WellName,Compound,Dose,GraphSeriesNo,ControlType,CellName,SampleVolume,ReagentVolume,Unit,DateTime,Timepoint,ElapsedTime,Description,[Cell] Count,[Cell] (Nuclei) Area (AVG),[Cell] (Nuclei) Area (SD),[Cell] (Nuclei) X-CoordinateInWell (AVG),[Cell] (Nuclei) X-CoordinateInWell (SD),[Cell] (Nuclei) Y-CoordinateInWell (AVG),[Cell] (Nuclei) Y-CoordinateInWell (SD),[Cell] (Nuclei) MinX (AVG),[Cell] (Nuclei) MinX (SD),[Cell] (Nuclei) MaxX (AVG),[Cell] (Nuclei) MaxX (SD),[Cell] (Nuclei) MinY (AVG),[Cell] (Nuclei) MinY (SD),[Cell] (Nuclei) MaxY (AVG),[Cell] (Nuclei) MaxY (SD),[Cell] (Nuclei) Diameter (AVG),[Cell] (Nuclei) Diameter (SD),[Cell] (Nuclei) Circumference (AVG),[Cell] (Nuclei) Circumference (SD),[Cell] (Nuclei) Circularity (AVG),[Cell] (Nuclei) Circularity (SD),[Cell] (Nuclei) Compactness (AVG),[Cell] (Nuclei) Compactness (SD),[Cell] (Nuclei) Anisometry (AVG),[Cell] (Nuclei) Anisometry (SD),[Cell] (Nuclei) MeanIntensity CH1 (AVG),[Cell] (Nuclei) MeanIntensity CH1 (SD),[Cell] (Nuclei) MeanIntensity CH2 (AVG),[Cell] (Nuclei) MeanIntensity CH2 (SD),[Cell] (Foci (Nuclei)) COUNT (AVG),[Cell] (Foci (Nuclei)) COUNT (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (SD),[Cell] Focci intensity norm (AVG),[Cell] Focci intensity norm (SD)
1,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,128,6,8,F,8,F-08,NT,0,1,Test,,0,0,uM,2023-02-09 15:28:42 +01:00,1,0,,2243,269.8070,77.8421,-51.4288,632.8447,-55.2822,641.3609,96.7583,56.7663,115.6882,56.7765,98.8037,56.7094,117.9549,56.7870,21.9302,3.4988,63.5333,9.1696,0.703912,0.108055,1.234080,0.196900,1.428755,0.263556,307.2979,37.2016,867.8179,156.3823,43.07,27.44,27071.56,6465.51,20600.66,6340.89,1297.7066,218.6880,1145.1269,217.5890,111.264679,53.644325
57,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,129,6,9,F,9,F-09,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 15:31:34 +01:00,1,0,,2275,228.3225,69.1872,12.3078,635.8104,-62.1539,631.5732,99.4836,57.6517,117.1966,57.6829,101.9472,57.9426,119.6716,57.9104,20.4464,3.3560,59.7031,9.1600,0.680799,0.105063,1.289480,0.157919,1.461863,0.280945,379.0794,44.6208,876.6223,159.8991,29.02,18.20,28823.60,7517.91,22415.63,7871.88,1332.1009,240.6524,1194.7287,252.2252,143.537641,86.033061
19,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,130,6,10,F,10,F-10,siCON2,0,3,Test,,0,0,uM,2023-02-09 15:34:26 +01:00,1,0,,2119,248.9955,83.4879,-8.0630,628.0118,-10.7482,609.5830,95.1534,58.4263,113.6756,58.4973,98.4228,58.0457,117.1634,58.1376,21.9429,4.1663,62.9412,10.4996,0.643706,0.113391,1.329619,0.229445,1.530443,0.348734,397.7511,50.5627,871.5679,175.1542,22.70,16.01,30752.28,9439.02,24581.50,9486.04,1374.9472,293.4447,1253.3712,298.9371,142.481245,91.257556
41,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,131,6,11,F,11,F-11,siLuc,0,4,Test,,0,0,uM,2023-02-09 15:37:18 +01:00,1,0,,1800,234.2608,62.0455,-43.2341,639.7344,3.1636,620.3722,94.4145,57.6243,112.3160,57.5699,102.2091,58.7386,120.2048,58.8484,21.0653,3.3069,59.9446,7.9472,0.668097,0.110495,1.255375,0.140313,1.510461,0.303924,396.7103,47.6771,928.1620,165.4198,20.04,14.97,33115.41,10845.64,27221.47,11869.52,1449.6688,309.8516,1346.2094,350.9527,154.251397,83.046946
6,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,132,6,12,F,12,F-12,siPLK1,0,5,Test,,0,0,uM,2023-02-09 15:40:10 +01:00,1,0,,723,123.8421,71.8045,-53.0682,691.8809,-232.8321,606.6475,91.4664,58.7267,105.6096,59.2042,104.3113,57.7339,117.9527,57.7634,16.6344,4.9286,52.8951,17.8252,0.540832,0.130877,1.998776,0.748788,1.647987,0.495006,556.8846,129.8530,381.8092,197.1818,6.95,15.47,8510.35,9870.18,7564.84,8909.15,496.9593,452.1947,473.6609,426.6811,85.026263,125.576196
3,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,133,6,13,F,13,F-13,siDDX17,0,6,Test,,0,0,uM,2023-02-09 15:43:01 +01:00,1,0,,1546,222.1323,56.9252,-11.4626,633.5965,-100.9534,657.9335,96.7288,58.5432,114.1836,58.4883,103.8614,58.5736,121.3657,58.7098,20.4247,3.1720,58.4330,7.3017,0.674762,0.109243,1.257023,0.145798,1.487038,0.309740,397.7032,43.5064,978.0206,142.8090,14.81,11.51,36944.10,12319.12,31405.50,14291.40,1559.2177,357.6742,1471.8048,423.3912,179.565468,88.148861
4,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,134,6,14,F,14,F-14,siSETX,0,7,Test,,0,0,uM,2023-02-09 15:45:53 +01:00,1,0,,1997,191.8549,64.0367,-53.4106,613.1918,-86.1779,642.7714,99.1281,57.5892,115.2800,57.8421,100.6280,57.3950,116.8092,57.4668,18.8538,3.3285,54.1094,8.8356,0.673231,0.117813,1.266122,0.161627,1.490623,0.336490,476.1929,66.1026,715.9474,157.6880,34.75,21.25,19521.56,5129.41,15359.92,4224.14,1046.6618,187.0727,951.6901,164.2706,115.209282,58.431187
15,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,135,6,15,F,15,F-15,siMSH3,0,8,Test,,0,0,uM,2023-02-09 15:48:45 +01:00,1,0,,987,231.3950,62.1144,47.8277,626.2606,35.8731,617.7481,98.8766,58.3732,116.8297,58.2470,101.7600,58.2358,119.7343,58.2329,21.3433,3.2557,60.2178,8.2979,0.641287,0.112216,1.292968,0.226461,1.572217,0.337637,384.4509,52.4638,967.5826,142.4496,15.76,14.53,37574.11,13454.99,32508.28,16016.11,1553.5761,357.1040,1495.7350,453.8675,180.097429,110.325310
25,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,136,6,16,F,16,F-16,siTHOC1,0,9,Test,,0,0,uM,2023-02-09 15:51:37 +01:00,1,0,,2676,242.8445,67.1897,12.7781,634.5829,-105.0542,622.5540,98.8265,57.1209,116.9259,57.1838,98.9269,56.7028,117.0778,56.6750,20.9919,3.2811,60.5143,8.3330,0.693392,0.108922,1.240114,0.192929,1.446799,0.277072,415.2436,52.9018,688.1020,149.3476,33.56,19.79,22718.33,5415.36,18139.19,5175.64,1119.3803,186.8305,1022.6735,175.6557,103.696001,52.448454
24,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,137,6,17,F,17,F-17,NT,0,10,Test,,0,0,uM,2023-02-09 15:54:28 +01:00,1,0,,2686,272.7694,68.6983,-28.1288,610.4328,-28.5654,602.9348,97.4909,57.3364,116.6385,57.3084,98.5906,57.1841,117.7169,57.1917,22.0101,3.1591,63.7664,7.8093,0.711995,0.104453,1.213959,0.110067,1.420336,0.253271,379.2671,47.5215,824.2186,151.5995,53.25,30.77,25732.68,5717.10,18912.81,5340.33,1251.6528,198.4911,1086.9399,188.4334,101.713260,42.050795
