ID,MeasurementTitle,PlateName,WellID,Row,Column,RowName,ColumnName,WellName,Compound,Dose,GraphSeriesNo,ControlType,CellName,SampleVolume,ReagentVolume,Unit,DateTime,Timepoint,ElapsedTime,Description,[Cell] Count,[Cell] (Nuclei) Area (AVG),[Cell] (Nuclei) Area (SD),[Cell] (Nuclei) X-CoordinateInWell (AVG),[Cell] (Nuclei) X-CoordinateInWell (SD),[Cell] (Nuclei) Y-CoordinateInWell (AVG),[Cell] (Nuclei) Y-CoordinateInWell (SD),[Cell] (Nuclei) MinX (AVG),[Cell] (Nuclei) MinX (SD),[Cell] (Nuclei) MaxX (AVG),[Cell] (Nuclei) MaxX (SD),[Cell] (Nuclei) MinY (AVG),[Cell] (Nuclei) MinY (SD),[Cell] (Nuclei) MaxY (AVG),[Cell] (Nuclei) MaxY (SD),[Cell] (Nuclei) Diameter (AVG),[Cell] (Nuclei) Diameter (SD),[Cell] (Nuclei) Circumference (AVG),[Cell] (Nuclei) Circumference (SD),[Cell] (Nuclei) Circularity (AVG),[Cell] (Nuclei) Circularity (SD),[Cell] (Nuclei) Compactness (AVG),[Cell] (Nuclei) Compactness (SD),[Cell] (Nuclei) Anisometry (AVG),[Cell] (Nuclei) Anisometry (SD),[Cell] (Nuclei) MeanIntensity CH1 (AVG),[Cell] (Nuclei) MeanIntensity CH1 (SD),[Cell] (Nuclei) MeanIntensity CH2 (AVG),[Cell] (Nuclei) MeanIntensity CH2 (SD),[Cell] (Foci (Nuclei)) COUNT (AVG),[Cell] (Foci (Nuclei)) COUNT (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (SD),[Cell] Focci intensity norm (AVG),[Cell] Focci intensity norm (SD)
1,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,128,6,8,F,8,F-08,NT,0,1,Test,,0,0,uM,2023-02-09 15:28:42 +01:00,1,0,,2232,270.7091,76.9441,-52.7901,632.9124,-55.9107,640.9525,96.7059,56.8022,115.6677,56.8113,98.6172,56.6908,117.8041,56.7928,21.9638,3.4686,63.6248,9.0841,0.704989,0.107033,1.230751,0.190170,1.426642,0.260554,306.7304,36.1725,867.8102,156.0686,43.25,27.38,27098.47,6404.04,20598.59,6290.16,1298.7690,215.5280,1145.5720,214.7222,110.506156,51.206086
57,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,129,6,9,F,9,F-09,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 15:31:34 +01:00,1,0,,2252,229.5566,68.3898,15.0667,636.1368,-62.9794,631.5307,99.2134,57.7269,116.9677,57.7738,101.8441,57.9508,119.6221,57.9306,20.4899,3.3332,59.8585,9.0505,0.682378,0.103889,1.287296,0.155911,1.457510,0.276098,378.1537,43.5204,875.3874,159.4478,29.22,18.17,28805.26,7479.17,22366.44,7792.12,1331.6201,239.7704,1193.4813,250.0688,141.739320,82.250046
19,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,130,6,10,F,10,F-10,siCON2,0,3,Test,,0,0,uM,2023-02-09 15:34:26 +01:00,1,0,,2109,249.6929,82.9862,-9.1140,628.3456,-10.9963,610.1344,95.1029,58.4678,113.6526,58.5396,98.3762,58.0629,117.1483,58.1611,21.9745,4.1218,63.0401,10.3709,0.643980,0.113166,1.329091,0.228825,1.528863,0.342634,397.2799,49.8652,870.9282,174.8690,22.77,16.01,30783.61,9425.90,24599.25,9485.88,1375.8159,293.3729,1254.1094,299.1703,141.696957,89.606610
41,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,131,6,11,F,11,F-11,siLuc,0,4,Test,,0,0,uM,2023-02-09 15:37:18 +01:00,1,0,,1794,234.6769,61.6674,-44.1688,638.7643,4.2773,620.0390,94.3017,57.5944,112.2186,57.5528,102.1489,58.6661,120.1621,58.7971,21.0817,3.2875,59.9987,7.8854,0.668530,0.110198,1.254669,0.139909,1.509223,0.301993,396.2559,47.0337,927.8293,165.4971,20.09,14.98,33122.97,10845.18,27208.75,11868.34,1449.8525,309.9320,1345.9845,351.0206,153.585223,81.705158
6,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,132,6,12,F,12,F-12,siPLK1,0,5,Test,,0,0,uM,2023-02-09 15:40:10 +01:00,1,0,,402,131.9629,84.1669,-11.4212,691.3251,-231.3789,615.6571,85.9382,58.1009,100.3992,58.9334,106.2267,56.8053,120.2299,56.8627,17.1047,5.3417,54.2859,19.5956,0.534039,0.132873,2.030683,0.842363,1.675974,0.516147,482.0888,85.5545,414.7398,233.8316,11.01,19.64,10026.62,9513.13,8627.67,7992.70,590.9797,460.5327,556.2083,421.7869,97.925165,136.370034
3,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,133,6,13,F,13,F-13,siDDX17,0,6,Test,,0,0,uM,2023-02-09 15:43:01 +01:00,1,0,,1544,222.2060,56.9243,-10.6749,633.6258,-100.9752,657.4627,96.6820,58.5280,114.1362,58.4753,103.8337,58.6038,121.3427,58.7416,20.4267,3.1726,58.4372,7.3015,0.674851,0.109217,1.256741,0.145339,1.487259,0.309875,397.5787,43.3138,978.1790,142.6393,14.80,11.51,36966.57,12311.21,31425.66,14289.66,1559.8286,357.5001,1472.4141,423.3264,179.644326,88.178692
4,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,134,6,14,F,14,F-14,siSETX,0,7,Test,,0,0,uM,2023-02-09 15:45:53 +01:00,1,0,,1897,196.0111,62.4660,-56.7948,616.5147,-79.2740,645.2145,98.5550,57.6052,114.8829,57.8959,100.5838,57.9688,116.9386,58.0530,19.0126,3.2600,54.6734,8.5117,0.678369,0.115246,1.260645,0.156285,1.476317,0.324466,471.0038,61.5954,711.3342,156.3588,35.78,21.21,19481.65,5061.26,15317.32,4186.06,1044.4358,184.9432,948.4653,161.3834,110.916284,53.227267
15,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,135,6,15,F,15,F-15,siMSH3,0,8,Test,,0,0,uM,2023-02-09 15:48:45 +01:00,1,0,,963,234.8518,58.3534,44.7279,623.5687,41.0749,616.5584,98.1705,57.9050,116.2453,57.8793,101.4017,58.1200,119.5311,58.1537,21.4996,3.0697,60.5685,7.6922,0.644724,0.109406,1.275734,0.165562,1.567582,0.328827,380.8012,43.6192,967.8718,141.7256,15.97,14.63,37983.62,13321.55,32834.43,16040.84,1565.0879,350.9272,1506.5625,451.5273,176.779286,102.107491
25,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,136,6,16,F,16,F-16,siTHOC1,0,9,Test,,0,0,uM,2023-02-09 15:51:37 +01:00,1,0,,2664,243.3263,66.7803,13.1352,634.7836,-104.3650,622.6824,98.8439,57.1769,116.9647,57.2288,98.9133,56.7052,117.0863,56.6728,21.0147,3.2567,60.5839,8.2383,0.693689,0.108889,1.239882,0.193181,1.446017,0.276715,414.6799,52.0721,687.5422,149.0670,33.65,19.78,22719.31,5406.53,18137.26,5166.15,1119.4128,186.5390,1022.5778,175.5097,103.024315,49.774374
24,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,137,6,17,F,17,F-17,NT,0,10,Test,,0,0,uM,2023-02-09 15:54:28 +01:00,1,0,,2672,273.3411,68.2588,-26.4683,610.4233,-30.1896,601.7386,97.3967,57.3095,116.5624,57.2808,98.5147,57.1794,117.6595,57.1986,22.0307,3.1461,63.8056,7.7705,0.712530,0.104279,1.211830,0.104431,1.419610,0.252951,378.4034,45.7606,823.2991,151.2742,53.47,30.70,25745.38,5706.08,18909.67,5336.29,1251.8750,198.0469,1086.8388,188.1432,101.382261,41.443500
