ID,MeasurementTitle,PlateName,WellID,Row,Column,RowName,ColumnName,WellName,Compound,Dose,GraphSeriesNo,ControlType,CellName,SampleVolume,ReagentVolume,Unit,DateTime,Timepoint,ElapsedTime,Description,[Cell] Count,[Cell] (Nuclei) Area (AVG),[Cell] (Nuclei) Area (SD),[Cell] (Nuclei) X-CoordinateInWell (AVG),[Cell] (Nuclei) X-CoordinateInWell (SD),[Cell] (Nuclei) Y-CoordinateInWell (AVG),[Cell] (Nuclei) Y-CoordinateInWell (SD),[Cell] (Nuclei) MinX (AVG),[Cell] (Nuclei) MinX (SD),[Cell] (Nuclei) MaxX (AVG),[Cell] (Nuclei) MaxX (SD),[Cell] (Nuclei) MinY (AVG),[Cell] (Nuclei) MinY (SD),[Cell] (Nuclei) MaxY (AVG),[Cell] (Nuclei) MaxY (SD),[Cell] (Nuclei) Diameter (AVG),[Cell] (Nuclei) Diameter (SD),[Cell] (Nuclei) Circumference (AVG),[Cell] (Nuclei) Circumference (SD),[Cell] (Nuclei) Circularity (AVG),[Cell] (Nuclei) Circularity (SD),[Cell] (Nuclei) Compactness (AVG),[Cell] (Nuclei) Compactness (SD),[Cell] (Nuclei) Anisometry (AVG),[Cell] (Nuclei) Anisometry (SD),[Cell] (Nuclei) MeanIntensity CH1 (AVG),[Cell] (Nuclei) MeanIntensity CH1 (SD),[Cell] (Nuclei) MeanIntensity CH2 (AVG),[Cell] (Nuclei) MeanIntensity CH2 (SD),[Cell] (Foci (Nuclei)) COUNT (AVG),[Cell] (Foci (Nuclei)) COUNT (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (SD),[Cell] Focci intensity norm (AVG),[Cell] Focci intensity norm (SD)
1,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,128,6,8,F,8,F-08,NT,0,1,Test,,0,0,uM,2023-02-09 15:28:42 +01:00,1,0,,11,86.7721,25.3251,224.7914,580.5894,72.2507,742.5214,107.3997,50.0846,119.8316,51.4271,136.6327,49.2634,148.5551,48.6350,15.1159,3.0026,44.9704,7.7374,0.485516,0.095645,1.909707,0.345395,1.857413,0.473673,422.4525,60.9043,869.3687,220.8208,5.55,4.59,21610.56,13766.42,21020.82,13674.25,1082.1195,554.3887,1054.8192,565.3011,265.175867,184.431932
57,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,129,6,9,F,9,F-09,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 15:31:34 +01:00,1,0,,23,107.4916,28.4559,-257.8298,550.5246,18.6734,644.6761,125.9412,42.9858,139.6083,43.3037,112.0399,57.4924,124.5216,56.9434,16.1783,2.8572,44.4835,6.8700,0.526192,0.106820,1.503249,0.205662,1.888068,0.408567,469.7171,57.6977,997.5360,161.3535,9.43,5.78,30619.66,10729.80,27231.74,12965.79,1379.1796,318.6911,1316.8572,401.9751,319.616734,200.328537
19,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,130,6,10,F,10,F-10,siCON2,0,3,Test,,0,0,uM,2023-02-09 15:34:26 +01:00,1,0,,10,101.9037,56.1539,213.5958,534.0053,41.5776,502.2756,105.8009,50.2981,118.5276,51.1577,108.2579,56.2993,120.3488,55.7024,15.2689,7.4870,42.0792,16.3066,0.586018,0.149971,1.441002,0.333516,1.863778,0.999437,497.1260,90.6789,1006.4774,192.7413,7.20,7.19,24146.09,10402.77,20838.40,9223.22,1191.7296,260.9086,1097.6847,198.8862,307.887686,220.562887
41,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,131,6,11,F,11,F-11,siLuc,0,4,Test,,0,0,uM,2023-02-09 15:37:18 +01:00,1,0,,6,109.8522,52.4946,236.2310,917.5334,-329.8267,690.3212,128.1472,62.0288,141.4379,60.5385,120.1908,82.4925,132.9785,78.2527,16.1608,5.4873,43.7631,10.5666,0.538706,0.134115,1.466387,0.103047,1.880761,0.604364,532.5610,48.5678,1027.6212,108.4291,6.17,3.06,30857.44,11774.54,31023.67,12716.90,1394.7308,306.1216,1413.4430,353.9117,353.437283,199.448935
6,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,132,6,12,F,12,F-12,siPLK1,0,5,Test,,0,0,uM,2023-02-09 15:40:10 +01:00,1,0,,321,113.6722,50.6868,-105.2243,690.1094,-234.6520,596.1251,98.3896,58.8620,112.1348,58.9863,101.9125,58.8771,115.1008,58.8366,16.0454,4.2924,51.1532,15.1736,0.549338,0.128031,1.958817,0.610717,1.612938,0.465610,650.5541,114.2048,340.5690,127.0382,1.88,3.15,6611.48,9994.61,6233.81,9789.56,379.2141,413.0013,370.2838,410.5470,68.872497,108.649857
3,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,133,6,13,F,13,F-13,siDDX17,0,6,Test,,0,0,uM,2023-02-09 15:43:01 +01:00,1,0,,2,165.2254,12.8262,-619.5528,70.5142,-84.0650,1349.3626,132.8169,83.5907,150.7593,80.6189,125.2197,22.0978,139.0671,22.3264,18.8659,3.1527,55.1984,9.5457,0.606608,0.152645,1.474144,0.393110,1.316338,0.066474,493.8519,105.2298,855.7863,292.5801,19.00,18.38,19600.37,1270.02,15840.50,452.55,1087.5725,50.7372,1001.4271,5.0175,118.687365,1.526979
4,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,134,6,14,F,14,F-14,siSETX,0,7,Test,,0,0,uM,2023-02-09 15:45:53 +01:00,1,0,,100,113.0119,36.5714,10.7880,545.1260,-217.1445,582.0881,109.9993,56.4705,122.8133,56.5682,101.4667,45.3767,114.3540,45.0830,15.8396,3.1891,43.4112,8.0472,0.575776,0.124008,1.370017,0.217799,1.761997,0.433900,574.6312,71.6420,803.4600,158.0110,15.23,8.93,20278.64,6266.39,16168.07,4843.81,1088.8890,220.5134,1012.8644,203.1867,196.647446,86.744387
15,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,135,6,15,F,15,F-15,siMSH3,0,8,Test,,0,0,uM,2023-02-09 15:48:45 +01:00,1,0,,24,92.6886,48.9911,172.2083,730.3638,-172.8461,642.6755,127.2088,70.5280,140.2794,68.8343,116.1407,62.2981,127.8868,62.0690,15.0715,4.2657,46.1475,16.2838,0.503378,0.137276,1.984477,0.735282,1.758192,0.572318,530.8947,124.4206,955.9801,172.1517,7.08,5.17,21142.70,7043.27,19421.44,7165.86,1091.6672,296.3171,1061.2835,318.9198,313.237919,258.379600
25,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,136,6,16,F,16,F-16,siTHOC1,0,9,Test,,0,0,uM,2023-02-09 15:51:37 +01:00,1,0,,12,135.8723,75.2620,-66.4969,608.8902,-258.0533,598.6885,94.9475,44.6652,108.3190,47.3243,101.9341,58.5894,115.1978,59.6799,15.9264,4.7198,45.0542,13.9273,0.627620,0.099726,1.291693,0.119003,1.620304,0.314008,540.3925,83.5112,812.3771,166.3689,13.42,9.89,22499.52,7420.95,18568.29,7266.10,1112.1789,253.7054,1043.9288,213.5044,252.810091,211.686805
24,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,137,6,17,F,17,F-17,NT,0,10,Test,,0,0,uM,2023-02-09 15:54:28 +01:00,1,0,,14,163.6527,67.5154,-345.0407,543.0939,281.4314,763.8941,115.4749,61.8361,131.1466,62.9223,113.0810,58.3501,128.6758,56.8214,18.0698,3.2832,56.2893,11.3686,0.609796,0.088812,1.620383,0.287443,1.558924,0.285729,544.1134,82.2355,999.7156,107.9345,11.64,9.14,23308.01,7395.99,19511.11,6260.33,1209.2487,276.9009,1106.2378,245.5416,164.886787,89.453608
