ID,MeasurementTitle,PlateName,WellID,Row,Column,RowName,ColumnName,WellName,Compound,Dose,GraphSeriesNo,ControlType,CellName,SampleVolume,ReagentVolume,Unit,DateTime,Timepoint,ElapsedTime,Description,[Cell] Count,[Cell] (Nuclei) Area (AVG),[Cell] (Nuclei) Area (SD),[Cell] (Nuclei) X-CoordinateInWell (AVG),[Cell] (Nuclei) X-CoordinateInWell (SD),[Cell] (Nuclei) Y-CoordinateInWell (AVG),[Cell] (Nuclei) Y-CoordinateInWell (SD),[Cell] (Nuclei) MinX (AVG),[Cell] (Nuclei) MinX (SD),[Cell] (Nuclei) MaxX (AVG),[Cell] (Nuclei) MaxX (SD),[Cell] (Nuclei) MinY (AVG),[Cell] (Nuclei) MinY (SD),[Cell] (Nuclei) MaxY (AVG),[Cell] (Nuclei) MaxY (SD),[Cell] (Nuclei) Diameter (AVG),[Cell] (Nuclei) Diameter (SD),[Cell] (Nuclei) Circumference (AVG),[Cell] (Nuclei) Circumference (SD),[Cell] (Nuclei) Circularity (AVG),[Cell] (Nuclei) Circularity (SD),[Cell] (Nuclei) Compactness (AVG),[Cell] (Nuclei) Compactness (SD),[Cell] (Nuclei) Anisometry (AVG),[Cell] (Nuclei) Anisometry (SD),[Cell] (Nuclei) MeanIntensity CH1 (AVG),[Cell] (Nuclei) MeanIntensity CH1 (SD),[Cell] (Nuclei) MeanIntensity CH2 (AVG),[Cell] (Nuclei) MeanIntensity CH2 (SD),[Cell] (Foci (Nuclei)) COUNT (AVG),[Cell] (Foci (Nuclei)) COUNT (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (SD),[Cell] Focci intensity norm (AVG),[Cell] Focci intensity norm (SD)
1,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,128,6,8,F,8,F-08,NT,0,1,Test,,0,0,uM,2023-02-09 15:28:42 +01:00,1,0,,148,168.1164,76.5856,96.6177,612.4188,-49.9297,603.3017,98.5078,53.9419,113.5158,53.4118,101.9663,58.4431,117.2984,58.0554,17.9882,3.9764,51.6872,10.4347,0.625096,0.137170,1.401296,0.311330,1.559900,0.414401,308.1724,53.8599,749.9301,164.3192,7.18,2.39,24887.29,9453.25,21365.94,9954.08,1170.7228,264.9038,1107.7021,300.7171,178.952105,106.542706
57,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,129,6,9,F,9,F-09,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 15:31:34 +01:00,1,0,,316,150.8095,61.5805,-107.4613,656.6146,-197.7642,570.0912,103.2894,57.3701,117.6760,57.5255,105.5609,57.9576,120.0969,57.6661,17.0271,3.9018,49.4539,10.7464,0.639157,0.115044,1.369337,0.217241,1.529084,0.354477,378.4950,54.2617,827.5025,174.1054,7.10,2.30,28578.98,10770.02,24667.44,11939.65,1270.7630,287.3759,1209.1627,332.8991,232.571898,160.842971
19,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,130,6,10,F,10,F-10,siCON2,0,3,Test,,0,0,uM,2023-02-09 15:34:26 +01:00,1,0,,515,173.7233,66.1043,64.5544,685.3709,-82.9852,554.9830,98.0251,58.5829,113.5449,58.8164,99.1153,58.2550,114.8787,58.1385,18.5380,4.0343,53.4616,10.2489,0.623339,0.110229,1.386567,0.227196,1.531751,0.365084,391.2869,55.9203,788.6238,182.7395,6.26,2.55,29752.10,12760.12,25986.33,13112.08,1295.0937,343.9130,1243.7615,365.0278,203.395885,144.698077
41,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,131,6,11,F,11,F-11,siLuc,0,4,Test,,0,0,uM,2023-02-09 15:37:18 +01:00,1,0,,527,192.1033,51.9238,-168.4338,632.8354,-249.1595,606.8177,97.3377,56.2046,113.6883,56.0636,101.9336,59.5945,118.2842,59.5831,19.2585,3.3082,54.9585,7.8568,0.653683,0.111104,1.293280,0.166728,1.523804,0.329519,391.3371,51.8520,887.6672,176.1092,6.13,2.59,35133.72,14846.55,31169.63,16515.66,1454.8874,375.0048,1414.9837,446.0649,202.058084,120.604691
6,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,132,6,12,F,12,F-12,siPLK1,0,5,Test,,0,0,uM,2023-02-09 15:40:10 +01:00,1,0,,361,122.6033,64.6712,-76.0941,692.1133,-240.7728,591.6131,92.1665,57.0248,106.4717,57.5167,100.1982,57.4459,113.9223,57.4547,16.8477,4.9306,53.6982,18.3951,0.531041,0.125284,2.028840,0.748239,1.680569,0.502084,579.4585,129.2339,362.4313,165.8264,3.02,2.29,11140.83,9582.18,10514.76,9439.62,659.6376,302.6759,644.7370,301.3773,128.056556,147.556230
3,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,133,6,13,F,13,F-13,siDDX17,0,6,Test,,0,0,uM,2023-02-09 15:43:01 +01:00,1,0,,697,195.3314,48.5585,-44.0126,639.5738,-283.4273,592.9893,104.2422,56.1629,120.6513,56.2268,102.2734,57.6197,118.7677,57.7122,19.2493,3.0519,55.1367,6.7242,0.667047,0.106272,1.275520,0.156772,1.491098,0.321467,397.8141,43.9550,951.5455,143.8824,6.23,2.58,38378.03,14639.64,34330.06,17007.21,1572.2818,386.0751,1528.6688,473.2814,211.771814,106.144759
4,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,134,6,14,F,14,F-14,siSETX,0,7,Test,,0,0,uM,2023-02-09 15:45:53 +01:00,1,0,,175,114.1682,48.3646,93.8924,608.9135,-173.3306,636.3526,96.5531,55.4386,109.1816,55.8026,108.6132,62.2029,121.2300,62.3497,14.9482,3.1757,43.1826,8.5045,0.626199,0.120324,1.385169,0.231071,1.552687,0.470194,479.0039,79.2234,634.0870,145.5200,6.83,2.49,17816.69,7076.55,15502.21,7028.89,952.6461,190.8914,916.8225,203.3439,181.664975,97.952994
15,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,135,6,15,F,15,F-15,siMSH3,0,8,Test,,0,0,uM,2023-02-09 15:48:45 +01:00,1,0,,439,204.7618,56.1759,77.9947,647.7378,-64.0652,598.0940,107.3230,55.5898,124.5849,55.5518,102.9674,57.9911,119.7682,58.0031,20.4399,3.4435,57.1362,8.2903,0.617487,0.114970,1.325685,0.239116,1.629026,0.373729,391.4018,54.5219,951.3225,147.1046,6.24,2.58,38005.05,16524.39,34342.57,18849.23,1538.4172,418.1289,1509.7021,507.2560,211.072761,145.892911
25,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,136,6,16,F,16,F-16,siTHOC1,0,9,Test,,0,0,uM,2023-02-09 15:51:37 +01:00,1,0,,201,159.5775,63.1257,11.9482,642.2761,-56.8521,609.6142,107.5392,52.9995,122.3873,53.3194,102.4014,54.1218,117.0796,54.0755,17.5299,3.8031,50.2163,9.6692,0.638867,0.117280,1.338622,0.213466,1.542368,0.377981,411.7995,64.8186,597.8490,144.4804,7.12,2.41,21716.70,7185.22,19415.39,7918.70,1034.5820,199.1537,1011.4453,221.0783,164.747869,103.964165
24,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,137,6,17,F,17,F-17,NT,0,10,Test,,0,0,uM,2023-02-09 15:54:28 +01:00,1,0,,74,181.9809,65.4309,-297.9857,464.5461,47.4012,564.1364,114.0342,52.4767,130.0486,52.1866,103.4779,59.0623,119.4005,58.3735,18.7622,3.7347,54.1072,9.0214,0.642943,0.119463,1.354035,0.216071,1.535533,0.429308,365.7180,73.0906,717.3877,186.8953,7.01,2.40,24582.28,9060.59,20796.41,9904.69,1145.6490,269.4421,1081.7441,309.5601,155.316739,84.601209
