ID,MeasurementTitle,PlateName,WellID,Row,Column,RowName,ColumnName,WellName,Compound,Dose,GraphSeriesNo,ControlType,CellName,SampleVolume,ReagentVolume,Unit,DateTime,Timepoint,ElapsedTime,Description,[Cell] Count,[Cell] (Nuclei) Area (AVG),[Cell] (Nuclei) Area (SD),[Cell] (Nuclei) X-CoordinateInWell (AVG),[Cell] (Nuclei) X-CoordinateInWell (SD),[Cell] (Nuclei) Y-CoordinateInWell (AVG),[Cell] (Nuclei) Y-CoordinateInWell (SD),[Cell] (Nuclei) MinX (AVG),[Cell] (Nuclei) MinX (SD),[Cell] (Nuclei) MaxX (AVG),[Cell] (Nuclei) MaxX (SD),[Cell] (Nuclei) MinY (AVG),[Cell] (Nuclei) MinY (SD),[Cell] (Nuclei) MaxY (AVG),[Cell] (Nuclei) MaxY (SD),[Cell] (Nuclei) Diameter (AVG),[Cell] (Nuclei) Diameter (SD),[Cell] (Nuclei) Circumference (AVG),[Cell] (Nuclei) Circumference (SD),[Cell] (Nuclei) Circularity (AVG),[Cell] (Nuclei) Circularity (SD),[Cell] (Nuclei) Compactness (AVG),[Cell] (Nuclei) Compactness (SD),[Cell] (Nuclei) Anisometry (AVG),[Cell] (Nuclei) Anisometry (SD),[Cell] (Nuclei) MeanIntensity CH1 (AVG),[Cell] (Nuclei) MeanIntensity CH1 (SD),[Cell] (Nuclei) MeanIntensity CH2 (AVG),[Cell] (Nuclei) MeanIntensity CH2 (SD),[Cell] (Foci (Nuclei)) COUNT (AVG),[Cell] (Foci (Nuclei)) COUNT (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (SD),[Cell] Focci intensity norm (AVG),[Cell] Focci intensity norm (SD)
1,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,128,6,8,F,8,F-08,NT,0,1,Test,,0,0,uM,2023-02-09 15:28:42 +01:00,1,0,,236,371.0532,62.2492,-99.8342,599.1395,161.2848,663.0051,92.8549,57.5195,115.0101,57.4408,101.9645,53.0180,124.4704,53.3484,25.5970,2.7321,74.1998,6.3748,0.724232,0.098725,1.191293,0.087631,1.395172,0.215431,303.9639,32.3721,941.0240,125.0086,98.91,18.13,27245.63,4632.75,20055.21,4035.30,1362.9278,176.9038,1161.6135,159.0314,75.864527,19.761966
57,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,129,6,9,F,9,F-09,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 15:31:34 +01:00,1,0,,21,346.4132,67.0909,312.8986,572.0250,233.8959,646.3631,103.5030,53.0975,124.9066,53.8843,105.8481,58.4397,127.9086,59.0357,24.8150,2.5941,71.8298,6.4548,0.713569,0.073470,1.197366,0.045638,1.429505,0.175176,367.8733,35.6480,931.5283,140.3174,95.10,14.44,27426.79,5330.39,20253.14,4298.78,1361.1815,205.8145,1155.9332,188.2267,82.195245,23.973639
19,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,130,6,10,F,10,F-10,siCON2,0,3,Test,,0,0,uM,2023-02-09 15:34:26 +01:00,1,0,,15,426.5364,58.8222,-62.9566,344.1588,119.5639,720.5620,74.8732,63.4044,99.6297,62.8865,96.4256,66.1970,119.8675,66.2584,27.6532,2.8480,80.0755,5.2177,0.721236,0.122030,1.205188,0.102014,1.404584,0.270592,370.9172,28.4232,935.5348,82.2804,92.27,9.82,27671.09,3448.65,18960.23,2357.68,1350.6685,129.6862,1148.5870,96.8303,65.900936,11.803177
41,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,131,6,11,F,11,F-11,siLuc,0,4,Test,,0,0,uM,2023-02-09 15:37:18 +01:00,1,0,,7,389.6240,50.2131,76.4201,713.6428,325.3674,317.8533,102.5126,54.9345,124.6039,53.1265,95.6928,57.9663,119.1388,57.5576,26.6179,1.5129,76.2555,5.0458,0.700130,0.080603,1.192786,0.058101,1.442439,0.203463,380.2710,51.2564,1036.0088,127.6329,93.14,10.38,31594.91,4550.62,23035.29,2153.48,1523.9385,142.0862,1296.5727,56.1268,82.272832,15.275706
6,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,132,6,12,F,12,F-12,siPLK1,0,5,Test,,0,0,uM,2023-02-09 15:40:10 +01:00,1,0,,6,341.4499,21.2126,-12.3298,701.7222,45.0528,508.9928,91.3105,72.0086,112.3062,73.2470,99.7878,51.4585,121.6456,49.2235,23.9803,1.6086,70.8038,2.8007,0.759895,0.070556,1.168997,0.027737,1.314216,0.133870,430.4722,38.4486,806.3082,207.6978,111.33,22.77,22579.01,5104.50,16386.50,3106.58,1233.6039,264.5510,1058.3980,212.0714,65.815206,11.736281
3,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,133,6,13,F,13,F-13,siDDX17,0,6,Test,,0,0,uM,2023-02-09 15:43:01 +01:00,1,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000
5,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,134,6,14,F,14,F-14,siSETX,0,7,Test,,0,0,uM,2023-02-09 15:45:53 +01:00,1,0,,71,306.7963,47.8657,-170.8239,628.0689,-71.7426,738.0126,95.6746,55.6297,115.9582,55.3553,96.0222,51.0980,116.3149,51.6067,23.2355,2.2579,67.2151,5.2427,0.726647,0.098862,1.179856,0.054529,1.404927,0.222376,447.4594,48.2884,823.7916,131.5905,94.49,12.05,22249.30,4710.12,16773.32,3832.88,1181.1673,181.5852,1026.0529,150.8862,74.224564,19.389763
15,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,135,6,15,F,15,F-15,siMSH3,0,8,Test,,0,0,uM,2023-02-09 15:48:45 +01:00,1,0,,8,374.7343,41.7578,219.0535,541.5493,572.6909,207.3950,79.2322,66.9718,102.0643,68.4712,84.0141,62.3885,106.2805,63.1968,25.8968,2.3437,75.0566,3.2069,0.716444,0.107781,1.202061,0.054350,1.402312,0.264400,359.7615,28.8187,1116.6804,61.8423,95.00,13.23,35310.82,4795.55,28452.25,3689.61,1675.6778,166.6327,1456.1328,130.6434,94.463899,10.328475
25,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,136,6,16,F,16,F-16,siTHOC1,0,9,Test,,0,0,uM,2023-02-09 15:51:37 +01:00,1,0,,62,346.9228,53.6603,114.8690,503.8883,-120.1188,621.5578,86.2984,57.3915,107.7483,57.0754,94.8029,57.2107,116.4683,57.4445,24.5741,2.3118,71.4468,5.4389,0.734951,0.100749,1.178979,0.055217,1.380867,0.226161,406.6390,42.9062,835.8803,142.3421,94.34,13.86,24547.07,5007.76,18201.55,4168.20,1244.3795,189.9066,1075.8447,171.8664,72.250783,18.160990
24,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,137,6,17,F,17,F-17,NT,0,10,Test,,0,0,uM,2023-02-09 15:54:28 +01:00,1,0,,508,345.3299,52.9934,131.6633,609.5658,13.6988,646.5183,88.2468,56.4413,110.0477,56.6143,94.1322,55.4499,115.4205,55.7189,24.7909,2.4321,71.4696,5.3982,0.721205,0.107025,1.184876,0.062081,1.412467,0.240531,380.8995,40.7485,888.2712,124.8182,102.04,20.07,25909.39,4468.85,18625.06,3627.38,1303.7667,173.0349,1103.2801,148.8297,76.664027,17.170432
